"artista_id","artista_nome","artista_sobrenome"
1,"Georgette","Fadel"
2,"Julia","Zakia Orlandi"
3,"Juliana","Amaral"
4,"Lincoln","Antonio"
5,"Stela","do Patrocínio"
6,"Tomaz","Fujita Klotzel"
7,"Vitor","Souza"
8,"Adriano","Linhares"
9,"Aurora","Rodrigues de Morais"
10,"Daniela","Montanheiro"
11,"Eunice","Moreira Cruz"
12,"Fabiano","Gabriel"
13,"Gabriel","Levy"
14,"Grissel","Piguillem"
15,"Guilherme","Bonfanti"
16,"Isabel","Delia"
17,"João","Zílio"
18,"Kleber","Montanheiro"
19,"Manoel","Candeias"
20,"Marcelo","Galdino"
21,"Marco Antonio","Braz"
22,"Marilia","Toledo"
23,"Martha","Nowill"
24,"Marçal","Aquino"
25,"Ricardo","Ariel Garcia"
26,"Veridiana","Toledo"
